tag	treeid	stemtag	spcode	quadrat	gx	gy	dbh	codes	hom	date
4852	83	1	serviceberry	A	5.3	101.7	4.7	M	1.3	2014-06-11
10769	27231	1	black cherry	A	5.7	103.7	1.3	M	1.3	2014-06-11
10770	27232	1	autumn olive	A	6.8	103.6	1	M	1.3	2014-06-11
10771	27233	1	black cherry	A	7.3	103.4	2.9	M	1.3	2014-06-11
4855	84	1	black cherry	A	8.9	104.6	5.9	M	1.3	2014-06-11
10772	27234	1	black cherry	A	9.1	102	1.5	M	1.3	2014-06-11
4854	85	1	black cherry	A	9.3	102.1	5.1	M	1.3	2014-06-11
10773	27235	1	serviceberry	A	11.1	102.4	3.2	M	1.3	2014-06-11
10774	27236	1	serviceberry	A	11.6	104.1	3.3	M	1.3	2014-06-11
4856	86	1	red maple	A	11.7	102.1	6.8	M	1.3	2014-06-11
223	14954	1	serviceberry	A	13	103.2	3.7	M	1.3	2014-06-11
4857	87	1	serviceberry	A	14.1	103.9	5.2	M	1.3	2014-06-11
4858	88	1	black cherry	A	15.3	101	7	M	1.3	2014-06-11
4860	89	1	serviceberry	A	16.1	104.6	4.5	M	1.3	2014-06-11
4859	90	1	serviceberry	A	16.6	102.5	8.6	M	1.3	2014-06-11
4862	91	1	pignut hickory	A	19	103	53.6	M	1.3	2014-06-11
219	14955	1	serviceberry	A	19.5	102.2	3.9	M	1.3	2014-06-11
4861	92	1	serviceberry	A	19.9	100.6	9	M	1.3	2014-06-11
4863	93	1	black cherry	A	20.7	103.5	5.1	M	1.3	2014-06-11
4864	94	1	black cherry	A	21.9	101.5	NA	D	1.3	2014-06-11
4865	95	1	black cherry	A	23	103.8	9.2	M	1.3	2014-06-11
4866	96	1	black cherry	A	25.6	102.5	6.2	M	1.3	2014-06-11
10775	27237	1	black cherry	A	27.8	102.2	1.8	M	1.3	2014-06-11
4867	97	1	black cherry	A	28.2	103.7	3.3	R;M	1.3	2014-06-11
4868	98	1	serviceberry	A	29.3	101.1	5.5	M	1.3	2014-06-11
10776	27238	1	serviceberry	A	30.1	101.2	2.8	M	1.3	2014-06-11
10777	27239	1	serviceberry	A	32	100.4	3	M	1.3	2014-06-11
4869	99	1	black cherry	A	32	100.2	4	M	1.3	2014-06-11
4870	100	1	serviceberry	A	34.5	100.4	4.3	M	1.3	2014-06-11
10778	27240	1	black/red oak hybrid	A	36.4	103.2	2.8	M	1.3	2014-06-11
8553	101	1	pignut hickory	A	36.5	101.8	43.7	M	1.3	2014-06-11
10779	27241	1	witch hazel	A	38.2	102	2.5	M	1.3	2014-06-11
10780	27242	1	witch hazel	A	38.6	100.4	2.2	M	1.3	2014-06-11
10781	27243	1	serviceberry	A	39.5	101.1	1.8	M	1.3	2014-06-11
4872	102	1	flowering dogwood	A	40.4	102.3	4.8	M	1.3	2014-06-11
274	103	1	pignut hickory	A	40.5	101.4	28.2	M	1.3	2014-06-11
4874	104	1	serviceberry	A	41.7	103.9	6.6	M	1.3	2014-06-11
4874	104	2	serviceberry	A	41.7	103.9	2		1.3	2014-06-11
10782	27244	1	black cherry	A	41.9	103.2	1.9	M	1.3	2014-06-11
10783	27245	1	flowering dogwood	A	41.9	102.5	3	M	1.3	2014-06-11
10784	27246	1	witch hazel	A	43.3	101.4	1.3	M	1.3	2014-06-11
4875	105	1	black cherry	A	44.4	102.8	7.6	M	1.3	2014-06-11
10785	27247	1	witch hazel	A	44.6	103.4	3.3	M	1.3	2014-06-11
10785	27247	2	witch hazel	A	44.6	103.4	3		1.3	2014-06-11
4876	106	1	black cherry	A	46.5	100.9	7.6	M	1.3	2014-06-11
10786	27248	1	witch hazel	A	46.8	101.6	1.8	M	1.3	2014-06-11
4878	107	1	black cherry	A	47.8	103	4.3	M	1.3	2014-06-11
10787	27249	1	witch hazel	A	48.6	102.7	2	M	1.3	2014-06-11
10787	27249	2	witch hazel	A	48.6	102.7	1.7		1.3	2014-06-11
4879	108	1	pignut hickory	A	49.4	103.9	44.7	M	1.3	2014-06-11
4880	109	1	witch hazel	A	49.7	101.3	5.1	M	1.3	2014-06-11
4880	109	2	witch hazel	A	49.7	101.3	1.9		1.3	2014-06-11
4880	109	3	witch hazel	A	49.7	101.3	1.8		1.3	2014-06-11
10788	27250	1	serviceberry	A	50	103	2.2	M	1.3	2014-06-11
4881	110	1	witch hazel	A	50.2	100.6	5.6	M	1.3	2014-06-11
4881	110	2	witch hazel	A	50.2	100.6	3.8		1.3	2014-06-11
4881	110	3	witch hazel	A	50.2	100.6	1.4		1.3	2014-06-11
4881	110	4	witch hazel	A	50.2	100.6	1.2		1.3	2014-06-11
4882	111	1	black cherry	A	51.2	103.5	9.5	M	1.3	2014-06-11
4884	113	1	witch hazel	A	54.4	103.8	4.1	M	1.3	2014-06-11
4884	113	2	witch hazel	A	54.4	103.8	1.5		1.3	2014-06-11
4884	113	3	witch hazel	A	54.4	103.8	1		1.3	2014-06-11
10789	27251	1	witch hazel	A	54.8	103.3	1.3	M	1.3	2014-06-11
4886	114	1	black cherry	A	55.2	103.7	NA	S;D	1.3	2014-06-11
4885	115	1	white oak	A	56	101.4	33.8	M	1.3	2014-06-11
4887	117	1	black cherry	A	57.3	103.9	NA	S;D	1.3	2014-06-11
10790	27252	1	witch hazel	A	57.3	101.6	2.3	M	1.3	2014-06-11
10790	27252	2	witch hazel	A	57.3	101.6	1.5		1.3	2014-06-11
10791	27253	1	serviceberry	A	58.6	103.5	1.7	M	1.3	2014-06-11
4888	118	1	witch hazel	A	58.9	101.3	5.6	M	1.3	2014-06-11
4888	118	2	witch hazel	A	58.9	101.3	3.7		1.3	2014-06-11
4888	118	3	witch hazel	A	58.9	101.3	1.3		1.3	2014-06-11
4889	119	1	black cherry	A	60	103.5	13	M	1.3	2014-06-11
10795	27254	1	witch hazel	A	60.7	100	3.3	M	1.3	2014-06-11
10792	27255	1	red maple	A	60.9	101.2	1.4	M	1.3	2014-06-11
10794	27256	1	witch hazel	A	61.9	101.9	1.6	M	1.3	2014-06-11
10793	27257	1	witch hazel	A	62.2	103.3	2.4	M	1.3	2014-06-11
4890	120	1	witch hazel	A	62.6	100.5	4.2	M	1.3	2014-06-11
4890	120	2	witch hazel	A	62.6	100.5	2.3		1.3	2014-06-11
4890	120	3	witch hazel	A	62.6	100.5	1.5		1.3	2014-06-11
4890	120	4	witch hazel	A	62.6	100.5	1		1.3	2014-06-11
10796	27258	1	red maple	A	63.1	102.7	2.4	M	1.3	2014-06-11
4891	121	1	red maple	A	63.4	101.6	6.5	M	1.3	2014-06-11
10799	27259	1	witch hazel	A	65	102.4	1.8	M	1.3	2014-06-11
10797	27260	1	witch hazel	A	65.1	100	1.2	M	1.3	2014-06-11
10798	27261	1	witch hazel	A	65.2	101.4	1	M	1.3	2014-06-11
4892	123	1	black cherry	A	65.5	101.5	7.5	M	1.3	2014-06-11
4894	124	1	witch hazel	A	66.1	100.2	5	M	1.3	2014-06-11
4894	124	2	witch hazel	A	66.1	100.2	1.1		1.3	2014-06-11
4896	125	1	black cherry	A	66.2	103.9	4.6	M	1.3	2014-06-11
4895	126	1	white oak	A	66.2	101.8	52.7	M	1.3	2014-06-11
4897	127	1	witch hazel	A	67.5	103.8	4.6	M	1.3	2014-06-11
12001	27262	1	witch hazel	A	67.8	100	2.6	M	1.3	2014-06-11
12001	27262	2	witch hazel	A	67.8	100	1.1		1.3	2014-06-11
12002	27263	1	witch hazel	A	68.3	100	1.3	M	1.3	2014-06-11
12003	27264	1	witch hazel	A	68.5	104.3	2.9	M	1.3	2014-06-11
12000	27265	1	witch hazel	A	69.1	102.3	2	M	1.3	2014-06-11
4898	128	1	black cherry	A	69.4	102.5	13.8	M	1.3	2014-06-11
12004	27266	1	red maple	A	69.5	104.2	2.9	M	1.3	2014-06-11
12005	27267	1	red maple	A	70	100.3	1.6	M	1.3	2014-06-11
12007	27268	1	choke cherry	A	70.4	102.7	2	M	1.3	2014-06-11
4899	129	1	red maple	A	70.7	104	NA	D	1.3	2014-06-11
12006	27269	1	red maple	A	71.3	100.3	2.2	M	1.3	2014-06-11
12012	27270	1	serviceberry	A	72.5	101.9	1.8	M	1.3	2014-06-11
12008	27271	1	red maple	A	73.4	100.3	2.1	M	1.3	2014-06-11
4900	130	1	white oak	A	74.3	103	36.2	M	1.3	2014-06-11
215	14956	1	serviceberry	A	75.2	103.1	NA	D	1.3	2014-06-11
12013	27272	1	red maple	A	75.3	100	2.7	M	1.3	2014-06-11
12009	27273	1	red maple	A	75.4	100	1.7	M	1.3	2014-06-11
12010	27274	1	red maple	A	75.7	101.4	2.1	M	1.3	2014-06-11
12014	27275	1	red maple	A	75.7	100	2.4	M	1.3	2014-06-11
4447	131	1	red maple	A	77.2	103.6	11.8	M	1.3	2014-06-11
4448	132	1	red maple	A	78.3	101	9.7	M	1.3	2014-06-11
4449	133	1	black cherry	A	79.7	101.3	2.5	R;M	1.3	2014-06-11
12011	27276	1	red maple	A	79.8	102.3	3.6	M	1.3	2014-06-11
4450	134	1	red maple	A	80.2	102.6	NA	D	1.3	2014-06-11
4453	135	1	black cherry	A	81	104	NA	S;D	1.3	2014-06-11
4452	136	1	red maple	A	82	100.7	4.5	M	1.3	2014-06-11
4454	137	1	red maple	A	82.3	104	8.4	M	1.3	2014-06-11
4455	138	1	pignut hickory	A	84.3	101.8	10.1	M	1.3	2014-06-11
12015	27277	1	black cherry	A	84.4	103.2	1.1	M	1.3	2014-06-11
4456	139	1	black cherry	A	85.7	102	5.5	M	1.3	2014-06-11
222	14957	1	serviceberry	A	86.2	102.2	3.2	M	1.3	2014-06-11
4457	140	1	black cherry	A	86.9	103.3	14.2	M	1.3	2014-06-11
4458	141	1	serviceberry	A	88	102.5	7.3	M	1.3	2014-06-11
